date_all,n
"1970/01	",7
"1970/02	",2
"1970/03	",2
"1970/04	",0
"1970/05	",0
"1970/06	",0
"1970/07	",1
"1970/08	",0
"1970/09	",1
"1970/10	",0
"1970/11	",1
"1970/12	",0
"1971/01	",0
"1971/02	",1
"1971/03	",0
"1971/04	",2
"1971/05	",2
"1971/06	",0
"1971/07	",0
"1971/08	",5
"1971/09	",2
"1971/10	",1
"1971/11	",0
"1971/12	",0
"1972/01	",1
"1972/02	",0
"1972/03	",0
"1972/04	",1
"1972/05	",0
"1972/06	",0
"1972/07	",1
"1972/08	",0
"1972/09	",3
"1972/10	",0
"1972/11	",0
"1972/12	",0
"1973/01	",0
"1973/02	",3
"1973/03	",1
"1973/04	",1
"1973/05	",0
"1973/06	",2
"1973/07	",4
"1973/08	",5
"1973/09	",4
"1973/10	",0
"1973/11	",0
"1973/12	",0
"1974/01	",1
"1974/02	",0
"1974/03	",1
"1974/04	",0
"1974/05	",1
"1974/06	",5
"1974/07	",1
"1974/08	",0
"1974/09	",0
"1974/10	",1
"1974/11	",0
"1974/12	",0
"1975/01	",2
"1975/02	",0
"1975/03	",2
"1975/04	",0
"1975/05	",0
"1975/06	",0
"1975/07	",1
"1975/08	",0
"1975/09	",1
"1975/10	",0
"1975/11	",0
"1975/12	",0
"1976/01	",0
"1976/02	",0
"1976/03	",0
"1976/04	",0
"1976/05	",1
"1976/06	",0
"1976/07	",0
"1976/08	",5
"1976/09	",4
"1976/10	",2
"1976/11	",4
"1976/12	",2
"1977/01	",2
"1977/02	",2
"1977/03	",1
"1977/04	",0
"1977/05	",1
"1977/06	",0
"1977/07	",0
"1977/08	",0
"1977/09	",0
"1977/10	",0
"1977/11	",2
"1977/12	",0
"1978/01	",0
"1978/02	",0
"1978/03	",0
"1978/04	",1
"1978/05	",1
"1978/06	",0
"1978/07	",2
"1978/08	",1
"1978/09	",0
"1978/10	",0
"1978/11	",0
"1978/12	",0
"1979/01	",0
"1979/02	",0
"1979/03	",2
"1979/04	",0
"1979/05	",0
"1979/06	",0
"1979/07	",0
"1979/08	",0
"1979/09	",1
"1979/10	",0
"1979/11	",1
"1979/12	",1
"1980/01	",0
"1980/02	",2
"1980/03	",1
"1980/04	",0
"1980/05	",0
"1980/06	",4
"1980/07	",0
"1980/08	",1
"1980/09	",0
"1980/10	",1
"1980/11	",0
"1980/12	",0
"1981/01	",1
"1981/02	",0
"1981/03	",0
"1981/04	",0
"1981/05	",2
"1981/06	",0
"1981/07	",0
"1981/08	",0
"1981/09	",1
"1981/10	",1
"1981/11	",0
"1981/12	",0
"1982/01	",4
"1982/02	",1
"1982/03	",0
"1982/04	",1
"1982/05	",0
"1982/06	",1
"1982/07	",1
"1982/08	",0
"1982/09	",0
"1982/10	",2
"1982/11	",0
"1982/12	",1
"1983/01	",0
"1983/02	",0
"1983/03	",0
"1983/04	",0
"1983/05	",0
"1983/06	",1
"1983/07	",0
"1983/08	",0
"1983/09	",0
"1983/10	",0
"1983/11	",1
"1983/12	",0
"1984/01	",1
"1984/02	",0
"1984/03	",0
"1984/04	",0
"1984/05	",0
"1984/06	",0
"1984/07	",0
"1984/08	",0
"1984/09	",0
"1984/10	",0
"1984/11	",0
"1984/12	",0
"1985/01	",1
"1985/02	",0
"1985/03	",0
"1985/04	",2
"1985/05	",1
"1985/06	",1
"1985/07	",0
"1985/08	",1
"1985/09	",1
"1985/10	",0
"1985/11	",0
"1985/12	",0
"1986/01	",0
"1986/02	",1
"1986/03	",1
"1986/04	",1
"1986/05	",0
"1986/06	",1
"1986/07	",2
"1986/08	",2
"1986/09	",1
"1986/10	",1
"1986/11	",1
"1986/12	",0
"1987/01	",0
"1987/02	",0
"1987/03	",0
"1987/04	",1
"1987/05	",0
"1987/06	",0
"1987/07	",0
"1987/08	",0
"1987/09	",1
"1987/10	",1
"1987/11	",0
"1987/12	",0
"1988/01	",2
"1988/02	",0
"1988/03	",0
"1988/04	",1
"1988/05	",0
"1988/06	",1
"1988/07	",0
"1988/08	",0
"1988/09	",1
"1988/10	",0
"1988/11	",1
"1988/12	",0
"1989/01	",1
"1989/02	",1
"1989/03	",1
"1989/04	",3
"1989/05	",3
"1989/06	",1
"1989/07	",1
"1989/08	",0
"1989/09	",2
"1989/10	",0
"1989/11	",1
"1989/12	",0
"1990/01	",0
"1990/02	",0
"1990/03	",0
"1990/04	",1
"1990/05	",0
"1990/06	",1
"1990/07	",0
"1990/08	",0
"1990/09	",0
"1990/10	",0
"1990/11	",0
"1990/12	",0
"1991/01	",0
"1991/02	",1
"1991/03	",0
"1991/04	",1
"1991/05	",0
"1991/06	",1
"1991/07	",0
"1991/08	",0
"1991/09	",0
"1991/10	",0
"1991/11	",0
"1991/12	",0
"1992/01	",0
"1992/02	",0
"1992/03	",0
"1992/04	",0
"1992/05	",0
"1992/06	",0
"1992/07	",1
"1992/08	",1
"1992/09	",0
"1992/10	",0
"1992/11	",0
"1992/12	",2
"1993/01	",3
"1993/02	",0
"1993/03	",2
"1993/04	",0
"1993/05	",0
"1993/06	",0
"1993/07	",1
"1993/08	",1
"1993/09	",0
"1993/10	",0
"1993/11	",0
"1993/12	",0
"1994/01	",0
"1994/02	",0
"1994/03	",0
"1994/04	",0
"1994/05	",0
"1994/06	",2
"1994/07	",1
"1994/08	",1
"1994/09	",1
"1994/10	",0
"1994/11	",0
"1994/12	",1
"1995/01	",0
"1995/02	",0
"1995/03	",0
"1995/04	",1
"1995/05	",0
"1995/06	",0
"1995/07	",0
"1995/08	",0
"1995/09	",0
"1995/10	",2
"1995/11	",2
"1995/12	",0
"1996/01	",0
"1996/02	",8
"1996/03	",0
"1996/04	",0
"1996/05	",0
"1996/06	",0
"1996/07	",4
"1996/08	",0
"1996/09	",1
"1996/10	",0
"1996/11	",0
"1996/12	",1
"1997/01	",0
"1997/02	",0
"1997/03	",1
"1997/04	",0
"1997/05	",1
"1997/06	",0
"1997/07	",0
"1997/08	",1
"1997/09	",0
"1997/10	",1
"1997/11	",8
"1997/12	",1
"1998/01	",1
"1998/02	",0
"1998/03	",0
"1998/04	",0
"1998/05	",1
"1998/06	",1
"1998/07	",2
"1998/08	",3
"1998/09	",1
"1998/10	",3
"1998/11	",2
"1998/12	",0
"1999/01	",0
"1999/02	",0
"1999/03	",1
"1999/04	",0
"1999/05	",1
"1999/06	",0
"1999/07	",1
"1999/08	",0
"1999/09	",0
"1999/10	",0
"1999/11	",1
"1999/12	",0
"2000/01	",5
"2000/02	",0
"2000/03	",0
"2000/04	",1
"2000/05	",0
"2000/06	",0
"2000/07	",1
"2000/08	",0
"2000/09	",0
"2000/10	",4
"2000/11	",0
"2000/12	",0
"2001/01	",0
"2001/02	",1
"2001/03	",1
"2001/04	",3
"2001/05	",1
"2001/06	",1
"2001/07	",2
"2001/08	",0
"2001/09	",0
"2001/10	",1
"2001/11	",0
"2001/12	",0
"2002/01	",0
"2002/02	",0
"2002/03	",0
"2002/04	",1
"2002/05	",0
"2002/06	",1
"2002/07	",0
"2002/08	",1
"2002/09	",0
"2002/10	",0
"2002/11	",0
"2002/12	",0
"2003/01	",2
"2003/02	",0
"2003/03	",0
"2003/04	",0
"2003/05	",2
"2003/06	",0
"2003/07	",3
"2003/08	",0
"2003/09	",0
"2003/10	",1
"2003/11	",2
"2003/12	",1
"2004/01	",0
"2004/02	",0
"2004/03	",4
"2004/04	",2
"2004/05	",2
"2004/06	",0
"2004/07	",3
"2004/08	",2
"2004/09	",0
"2004/10	",1
"2004/11	",0
"2004/12	",1
"2005/01	",1
"2005/02	",0
"2005/03	",0
"2005/04	",3
"2005/05	",0
"2005/06	",0
"2005/07	",0
"2005/08	",2
"2005/09	",0
"2005/10	",0
"2005/11	",0
"2005/12	",0
"2006/01	",1
"2006/02	",2
"2006/03	",1
"2006/04	",2
"2006/05	",0
"2006/06	",0
"2006/07	",1
"2006/08	",1
"2006/09	",0
"2006/10	",0
"2006/11	",0
"2006/12	",0
"2007/01	",0
"2007/02	",0
"2007/03	",0
"2007/04	",0
"2007/05	",4
"2007/06	",1
"2007/07	",0
"2007/08	",0
"2007/09	",0
"2007/10	",0
"2007/11	",0
"2007/12	",0
"2008/01	",3
"2008/02	",0
"2008/03	",0
"2008/04	",0
"2008/05	",45
"2008/06	",3
"2008/07	",3
"2008/08	",9
"2008/09	",4
"2008/10	",4
"2008/11	",1
"2008/12	",2
"2009/01	",0
"2009/02	",0
"2009/03	",0
"2009/04	",0
"2009/05	",0
"2009/06	",2
"2009/07	",3
"2009/08	",0
"2009/09	",1
"2009/10	",0
"2009/11	",3
"2009/12	",0
"2010/01	",1
"2010/02	",1
"2010/03	",2
"2010/04	",2
"2010/05	",1
"2010/06	",0
"2010/07	",0
"2010/08	",0
"2010/09	",0
"2010/10	",0
"2010/11	",1
"2010/12	",1
"2011/01	",0
"2011/02	",0
"2011/03	",0
"2011/04	",1
"2011/05	",0
"2011/06	",0
"2011/07	",0
"2011/08	",1
"2011/09	",0
"2011/10	",1
"2011/11	",0
"2011/12	",0
"2012/01	",0
"2012/02	",1
"2012/03	",0
"2012/04	",0
"2012/05	",0
"2012/06	",1
"2012/07	",0
"2012/08	",1
"2012/09	",2
"2012/10	",0
"2012/11	",0
"2012/12	",0
"2013/01	",2
"2013/02	",1
"2013/03	",1
"2013/04	",5
"2013/05	",2
"2013/06	",0
"2013/07	",0
"2013/08	",5
"2013/09	",0
"2013/10	",0
"2013/11	",0
"2013/12	",0
"2014/01	",0
"2014/02	",1
"2014/03	",1
"2014/04	",1
"2014/05	",0
"2014/06	",0
"2014/07	",0
"2014/08	",3
"2014/09	",0
"2014/10	",2
"2014/11	",2
"2014/12	",1
"2015/01	",1
"2015/02	",1
"2015/03	",0
"2015/04	",1
"2015/05	",0
"2015/06	",0
"2015/07	",0
"2015/08	",0
"2015/09	",0
"2015/10	",1
"2015/11	",0
"2015/12	",0
"2016/01	",1
"2016/02	",0
"2016/03	",0
"2016/04	",0
"2016/05	",4
"2016/06	",0
"2016/07	",0
"2016/08	",0
"2016/09	",2
"2016/10	",1
"2016/11	",0
"2016/12	",1
"2017/01	",0
"2017/02	",1
"2017/03	",1
"2017/04	",0
"2017/05	",0
"2017/06	",0
"2017/07	",0
"2017/08	",0